cluster_rep	cluster_size	chosen_fasta_id	reason	beta_res	helix_res	beta_strands	helices
7D7N_EMD-30609_A	1	7D7N_EMD-30609_A	singleton	51	464	15	28
7DD8_EMD-30649_A	3	7DD2_EMD-30642_C	residue_sum=500	307	193	69	17
7DD8_EMD-30649_B	3	7DD2_EMD-30642_D	residue_sum=471	296	175	76	15
7DGQ_EMD-30673_A	1	7DGQ_EMD-30673_A	singleton	19	0	1	0
7DGQ_EMD-30673_B	1	7DGQ_EMD-30673_B	singleton	7	0	1	0
7DGQ_EMD-30673_E	2	7DGR_EMD-30674_B	residue_sum=3	3	0	1	0
7DGQ_EMD-30673_IA	1	7DGQ_EMD-30673_IA	singleton	1	0	1	0
7DGQ_EMD-30673_IB	1	7DGQ_EMD-30673_IB	singleton	3	0	1	0
7DGQ_EMD-30673_J	1	7DGQ_EMD-30673_J	singleton	5	0	1	0
7DGQ_EMD-30673_K	1	7DGQ_EMD-30673_K	singleton	4	0	1	0
7DGQ_EMD-30673_X	3	7DGQ_EMD-30673_X	residue_sum=7	7	0	1	0
7DGR_EMD-30674_C	1	7DGR_EMD-30674_C	singleton	0	1	0	1
7DGR_EMD-30674_RB	1	7DGR_EMD-30674_RB	singleton	1	0	1	0
7DGS_EMD-30675_AA	2	7DGR_EMD-30674_AA	residue_sum=2	1	1	1	1
7DGS_EMD-30675_B	1	7DGS_EMD-30675_B	singleton	3	0	1	0
7DGS_EMD-30675_C	1	7DGS_EMD-30675_C	singleton	1	0	1	0
7DGS_EMD-30675_L	1	7DGS_EMD-30675_L	singleton	1	0	1	0
7DGS_EMD-30675_S	2	7DGR_EMD-30674_S	residue_sum=2	1	1	1	1
7DGS_EMD-30675_SB	2	7DGR_EMD-30674_SB	residue_sum=2	2	0	1	0
7DGS_EMD-30675_TB	3	7DGQ_EMD-30673_N	residue_sum=1	1	0	1	0
7DGS_EMD-30675_U	1	7DGS_EMD-30675_U	singleton	1	0	1	0
7DGS_EMD-30675_UB	3	7DGS_EMD-30675_UB	residue_sum=2	2	0	1	0
7DNK_EMD-30786_A	1	7DNK_EMD-30786_A	singleton	126	41	36	8
7DNK_EMD-30786_B	1	7DNK_EMD-30786_B	singleton	128	42	37	9
7DNK_EMD-30786_C	1	7DNK_EMD-30786_C	singleton	129	48	36	10
7E55_EMD-30990_A	5	7QY7_EMD-14209_Y	residue_sum=236	3	233	3	18
7E6U_EMD-30997_B	1	7E6U_EMD-30997_B	singleton	39	10	10	3
7E81_EMD-31007_A	3	8VIB_EMD-43256_A	residue_sum=43	0	43	0	2
7E8H_EMD-31019_B	3	7E8G_EMD-31018_A	residue_sum=332	227	105	53	14
7E8H_EMD-31019_D	1	7E8H_EMD-31019_D	singleton	20	302	7	21
7E8H_EMD-31019_E	2	7E8H_EMD-31019_C	residue_sum=300	18	282	9	17
7E93_EMD-31027_D	2	7E94_EMD-31028_D	residue_sum=69	26	43	5	3
7E93_EMD-31027_E	2	7E94_EMD-31028_E	residue_sum=77	25	52	5	3
7E93_EMD-31027_G	2	7E94_EMD-31028_G	residue_sum=114	27	87	6	5
7E93_EMD-31027_H	2	7E94_EMD-31028_H	residue_sum=86	31	55	6	3
7E93_EMD-31027_I	2	7E94_EMD-31028_I	residue_sum=349	118	231	39	20
7E93_EMD-31027_J	2	7E94_EMD-31028_J	residue_sum=366	116	250	42	20
7E93_EMD-31027_K	2	7E94_EMD-31028_K	residue_sum=122	95	27	22	2
7E94_EMD-31028_A	2	7E94_EMD-31028_A	residue_sum=69	25	44	5	3
7E94_EMD-31028_B	2	7E94_EMD-31028_B	residue_sum=124	24	100	8	8
7E94_EMD-31028_C	2	7E93_EMD-31027_C	residue_sum=99	20	79	5	5
7EWR_EMD-31363_A	1	7EWR_EMD-31363_A	singleton	46	291	19	18
7EWR_EMD-31363_B	1	7EWR_EMD-31363_B	singleton	59	237	14	15
7EWR_EMD-31363_C	1	7EWR_EMD-31363_C	singleton	11	227	4	19
7EYQ_EMD-31384_A	3	7EYQ_EMD-31384_A	residue_sum=423	125	298	32	30
7F46_EMD-31444_C	1	7F46_EMD-31444_C	singleton	97	0	16	0
7F46_EMD-31444_D	1	7F46_EMD-31444_D	singleton	97	3	19	1
7F9O_EMD-31498_A	1	7F9O_EMD-31498_A	singleton	28	445	17	34
7F9O_EMD-31498_AA	1	7F9O_EMD-31498_AA	singleton	0	41	0	4
7F9O_EMD-31498_B	1	7F9O_EMD-31498_B	singleton	18	426	11	31
7F9O_EMD-31498_BA	1	7F9O_EMD-31498_BA	singleton	8	35	4	2
7F9O_EMD-31498_BB	1	7F9O_EMD-31498_BB	singleton	2	94	2	5
7F9O_EMD-31498_C	1	7F9O_EMD-31498_C	singleton	16	9	4	3
7F9O_EMD-31498_CA	1	7F9O_EMD-31498_CA	singleton	19	29	5	6
7F9O_EMD-31498_CB	1	7F9O_EMD-31498_CB	singleton	0	101	0	6
7F9O_EMD-31498_D	1	7F9O_EMD-31498_D	singleton	25	23	11	3
7F9O_EMD-31498_E	1	7F9O_EMD-31498_E	singleton	19	3	5	1
7F9O_EMD-31498_EA	1	7F9O_EMD-31498_EA	singleton	37	22	10	5
7F9O_EMD-31498_F	1	7F9O_EMD-31498_F	singleton	8	85	4	7
7F9O_EMD-31498_FA	1	7F9O_EMD-31498_FA	singleton	0	67	0	8
7F9O_EMD-31498_G	1	7F9O_EMD-31498_G	singleton	0	202	0	14
7F9O_EMD-31498_GA	1	7F9O_EMD-31498_GA	singleton	0	76	0	5
7F9O_EMD-31498_H	1	7F9O_EMD-31498_H	singleton	0	32	0	3
7F9O_EMD-31498_HA	1	7F9O_EMD-31498_HA	singleton	34	9	9	2
7F9O_EMD-31498_I	1	7F9O_EMD-31498_I	singleton	0	25	0	1
7F9O_EMD-31498_IA	1	7F9O_EMD-31498_IA	singleton	49	18	14	2
7F9O_EMD-31498_J	1	7F9O_EMD-31498_J	singleton	1	29	1	2
7F9O_EMD-31498_JA	1	7F9O_EMD-31498_JA	singleton	31	97	15	14
7F9O_EMD-31498_K	1	7F9O_EMD-31498_K	singleton	2	37	2	2
7F9O_EMD-31498_KA	1	7F9O_EMD-31498_KA	singleton	91	0	23	0
7F9O_EMD-31498_L	1	7F9O_EMD-31498_L	singleton	2	87	2	6
7F9O_EMD-31498_LA	1	7F9O_EMD-31498_LA	singleton	20	11	8	2
7F9O_EMD-31498_M	1	7F9O_EMD-31498_M	singleton	2	320	2	22
7F9O_EMD-31498_MA	1	7F9O_EMD-31498_MA	singleton	4	28	1	4
7F9O_EMD-31498_N	1	7F9O_EMD-31498_N	singleton	0	71	0	3
7F9O_EMD-31498_NA	1	7F9O_EMD-31498_NA	singleton	0	52	0	9
7F9O_EMD-31498_O	1	7F9O_EMD-31498_O	singleton	10	316	5	20
7F9O_EMD-31498_P	1	7F9O_EMD-31498_P	singleton	2	75	2	6
7F9O_EMD-31498_Q	1	7F9O_EMD-31498_Q	singleton	21	417	6	27
7F9O_EMD-31498_R	1	7F9O_EMD-31498_R	singleton	0	123	0	8
7F9O_EMD-31498_S	1	7F9O_EMD-31498_S	singleton	25	156	13	16
7F9O_EMD-31498_T	1	7F9O_EMD-31498_T	singleton	3	36	3	3
7F9O_EMD-31498_U	1	7F9O_EMD-31498_U	singleton	31	25	10	3
7F9O_EMD-31498_V	1	7F9O_EMD-31498_V	singleton	15	50	12	7
7F9O_EMD-31498_W	1	7F9O_EMD-31498_W	singleton	0	41	0	4
7F9O_EMD-31498_X	1	7F9O_EMD-31498_X	singleton	8	35	4	2
7F9O_EMD-31498_Y	1	7F9O_EMD-31498_Y	singleton	19	29	5	6
7F9O_EMD-31498_Z	1	7F9O_EMD-31498_Z	singleton	15	50	12	7
7FDB_EMD-31539_B	2	7FDB_EMD-31539_B	residue_sum=273	98	175	28	19
7FDB_EMD-31539_CA	2	7FDB_EMD-31539_CA	residue_sum=43	1	42	1	2
7FDB_EMD-31539_DA	2	7FDC_EMD-31540_DA	residue_sum=24	0	24	0	4
7FDB_EMD-31539_EA	2	7FDB_EMD-31539_EA	residue_sum=45	0	45	0	2
7FDB_EMD-31539_G	2	7FDC_EMD-31540_G	residue_sum=175	13	162	4	5
7FDB_EMD-31539_H	2	7FDB_EMD-31539_H	residue_sum=95	0	95	0	4
7FDB_EMD-31539_M	2	7FDC_EMD-31540_M	residue_sum=176	20	156	2	6
7FDB_EMD-31539_N	2	7FDB_EMD-31539_N	residue_sum=65	22	43	4	6
7FDB_EMD-31539_O	2	7FDB_EMD-31539_O	residue_sum=204	35	169	11	8
7FDB_EMD-31539_P	2	7FDC_EMD-31540_P	residue_sum=289	0	289	0	27
7FDB_EMD-31539_Q	2	7FDB_EMD-31539_Q	residue_sum=441	29	412	16	27
7FDB_EMD-31539_U	2	7FDC_EMD-31540_U	residue_sum=120	0	120	0	7
7FDC_EMD-31540_A	2	7FDB_EMD-31539_A	residue_sum=355	144	211	33	19
7FDC_EMD-31540_R	2	7FDB_EMD-31539_R	residue_sum=204	0	204	0	15
7FDC_EMD-31540_S	2	7FDB_EMD-31539_S	residue_sum=204	0	204	0	15
7FDC_EMD-31540_T	2	7FDB_EMD-31539_T	residue_sum=159	0	159	0	7
7FIF_EMD-31595_A	1	7FIF_EMD-31595_A	singleton	13	528	5	27
7FJ3_EMD-31612_A	1	7FJ3_EMD-31612_A	singleton	181	365	64	49
7FJ3_EMD-31612_B	1	7FJ3_EMD-31612_B	singleton	0	7	0	1
7FJ3_EMD-31612_F	1	7FJ3_EMD-31612_F	singleton	1	43	1	4
7FJ3_EMD-31612_I	1	7FJ3_EMD-31612_I	singleton	0	43	0	4
7JGF_EMD-22325_A	1	7JGF_EMD-22325_A	singleton	4	309	2	21
7JGG_EMD-22326_A	1	7JGG_EMD-22326_A	singleton	0	313	0	21
7JGJ_EMD-22328_A	1	7JGJ_EMD-22328_A	singleton	193	381	73	41
7JGJ_EMD-22328_B	1	7JGJ_EMD-22328_B	singleton	84	12	23	2
7JGJ_EMD-22328_C	1	7JGJ_EMD-22328_C	singleton	97	3	31	1
7JLX_EMD-22383_A	1	7JLX_EMD-22383_A	singleton	19	81	5	9
7JMF_EMD-22392_B	6	7JMJ_EMD-22396_B	residue_sum=2079	333	1746	117	165
7JPU_EMD-22423_A	1	7JPU_EMD-22423_A	singleton	253	158	96	21
7JTI_EMD-22474_B	1	7JTI_EMD-22474_B	singleton	66	119	13	11
7JTI_EMD-22474_C	1	7JTI_EMD-22474_C	singleton	63	110	14	11
7JTI_EMD-22474_D	1	7JTI_EMD-22474_D	singleton	64	105	15	12
7JTI_EMD-22474_E	1	7JTI_EMD-22474_E	singleton	63	110	14	11
7JTI_EMD-22474_F	1	7JTI_EMD-22474_F	singleton	64	105	15	12
7JTS_EMD-22480_A	1	7JTS_EMD-22480_A	singleton	6	18	2	1
7JTS_EMD-22480_C	6	9E23_EMD-47430_D	residue_sum=171	112	59	34	5
7JTS_EMD-22480_K	1	7JTS_EMD-22480_K	singleton	95	0	16	0
7JTS_EMD-22480_L	1	7JTS_EMD-22480_L	singleton	14	195	4	9
7JTS_EMD-22480_M	1	7JTS_EMD-22480_M	singleton	6	82	2	8
7K08_EMD-22589_A	1	7K08_EMD-22589_A	singleton	51	144	16	17
7K1V_EMD-22630_A	1	7K1V_EMD-22630_A	singleton	24	316	13	34
7K1W_EMD-22631_A	1	7K1W_EMD-22631_A	singleton	134	125	20	10
7K2V_EMD-22647_A	1	7K2V_EMD-22647_A	singleton	44	168	14	17
7K2V_EMD-22647_B	1	7K2V_EMD-22647_B	singleton	44	168	14	17
7K5B_EMD-22679_R	1	7K5B_EMD-22679_R	singleton	2	79	2	8
7K9L_EMD-22754_A	1	7K9L_EMD-22754_A	singleton	54	165	12	14
7KEK_EMD-22840_A	3	7K5B_EMD-22679_A	residue_sum=3089	316	2773	94	167
7KEK_EMD-22840_B	3	7KEK_EMD-22840_B	residue_sum=3026	285	2741	83	179
7KEK_EMD-22840_C	2	7KEK_EMD-22840_C	residue_sum=2387	429	1958	130	127
7KEK_EMD-22840_D	3	7K5B_EMD-22679_B	residue_sum=3141	295	2846	84	176
7KEK_EMD-22840_E	3	7KEK_EMD-22840_E	residue_sum=263	174	89	39	4
7KEK_EMD-22840_F	3	7K5B_EMD-22679_H	residue_sum=72	35	37	4	3
7KEK_EMD-22840_G	3	7K5B_EMD-22679_G	residue_sum=93	33	60	5	4
7KEK_EMD-22840_J	3	7K5B_EMD-22679_O	residue_sum=80	37	43	4	3
7KEK_EMD-22840_K	3	7K5B_EMD-22679_E	residue_sum=283	186	97	37	5
7KEK_EMD-22840_L	3	7K5B_EMD-22679_D	residue_sum=287	186	101	42	7
7KEK_EMD-22840_M	2	7K5B_EMD-22679_P	residue_sum=72	25	47	4	4
7KEK_EMD-22840_O	3	7KEK_EMD-22840_O	residue_sum=80	38	42	4	3
7KEK_EMD-22840_Q	3	7K5B_EMD-22679_M	residue_sum=66	33	33	4	2
7KO4_EMD-22964_P	42	6KN7_EMD-0728_P	residue_sum=269	0	269	0	1
7KPW_EMD-22990_A	1	7KPW_EMD-22990_A	singleton	0	619	0	46
7KS0_EMD-23014_A	2	7KS3_EMD-23015_A	residue_sum=415	109	306	39	26
7KS3_EMD-23015_B	2	7KS3_EMD-23015_B	residue_sum=428	121	307	38	26
7KTP_EMD-23025_A	1	7KTP_EMD-23025_A	singleton	59	97	22	12
7KTP_EMD-23025_B	1	7KTP_EMD-23025_B	singleton	144	14	29	2
7KTP_EMD-23025_C	1	7KTP_EMD-23025_C	singleton	83	125	20	10
7KTP_EMD-23025_D	3	7KTP_EMD-23025_D	residue_sum=188	153	35	29	3
7KTV_EMD-23031_A	1	7KTV_EMD-23031_A	singleton	2	743	2	48
7KVC_EMD-23046_A	2	7KVC_EMD-23046_A	residue_sum=141	45	96	11	9
7KZM_EMD-23082_B	3	7N32_EMD-22677_A	residue_sum=260	67	193	14	16
7KZM_EMD-23082_DA	1	7KZM_EMD-23082_DA	singleton	3	0	1	0
7KZM_EMD-23082_O	1	7KZM_EMD-23082_O	singleton	0	59	0	1
7KZM_EMD-23082_P	1	7KZM_EMD-23082_P	singleton	3	0	1	0
7KZM_EMD-23082_R	1	7KZM_EMD-23082_R	singleton	1	0	1	0
7KZM_EMD-23082_S	1	7KZM_EMD-23082_S	singleton	1	0	1	0
7L0S_EMD-23102_A	1	7L0S_EMD-23102_A	singleton	39	178	10	18
7L0S_EMD-23102_B	1	7L0S_EMD-23102_B	singleton	148	0	29	0
7L0S_EMD-23102_D	9	8SL3_EMD-40572_B	residue_sum=182	155	27	28	2
7L0S_EMD-23102_E	4	8P15_EMD-17345_D	residue_sum=18	0	18	0	2
7L6M_EMD-23145_A	1	7L6M_EMD-23145_A	singleton	107	13	19	3
7L6M_EMD-23145_B	1	7L6M_EMD-23145_B	singleton	112	17	20	5
7L6N_EMD-23206_A	1	7L6N_EMD-23206_A	singleton	56	334	21	35
7L6N_EMD-23206_H	1	7L6N_EMD-23206_H	singleton	92	145	20	12
7LGE_EMD-23321_A	3	7LGE_EMD-23321_A	residue_sum=83	58	25	8	3
7LHH_EMD-23340_A	2	7LHH_EMD-23340_A	residue_sum=388	360	28	64	5
7LHH_EMD-23340_B	2	7LHI_EMD-23341_D	residue_sum=95	85	10	20	2
7LHH_EMD-23340_C	2	7LHH_EMD-23340_C	residue_sum=388	360	28	64	5
7LHI_EMD-23341_B	2	7LHI_EMD-23341_B	residue_sum=116	109	7	23	2
7LHI_EMD-23341_C	1	7LHI_EMD-23341_C	singleton	256	10	53	2
7LRG_EMD-23497_G	1	7LRG_EMD-23497_G	singleton	50	0	10	0
7LUM_EMD-23522_A	3	7LUP_EMD-23526_A	residue_sum=324	78	246	25	17
7LUM_EMD-23522_C	3	7LUP_EMD-23526_C	residue_sum=336	76	260	30	19
7LUM_EMD-23522_E	3	7LUM_EMD-23522_E	residue_sum=363	91	272	25	19
7LUM_EMD-23522_G	3	7LUM_EMD-23522_G	residue_sum=330	72	258	22	20
7LUM_EMD-23522_I	3	7LUP_EMD-23526_I	residue_sum=328	77	251	26	18
7LUM_EMD-23522_K	3	7LUP_EMD-23526_K	residue_sum=332	75	257	30	19
7LUM_EMD-23522_O	3	7X6Q_EMD-33025_A	residue_sum=350	96	254	23	21
7LZ6_EMD-23603_A	1	7LZ6_EMD-23603_A	singleton	68	239	18	26
7LZ6_EMD-23603_C	1	7LZ6_EMD-23603_C	singleton	111	15	21	5
7LZ6_EMD-23603_D	1	7LZ6_EMD-23603_D	singleton	96	13	19	3
7MBZ_EMD-23751_A	1	7MBZ_EMD-23751_A	singleton	0	187	0	10
7MBZ_EMD-23751_B	1	7MBZ_EMD-23751_B	singleton	0	180	0	11
7MBZ_EMD-23751_D	1	7MBZ_EMD-23751_D	singleton	48	83	12	9
7MH0_EMD-23832_A	1	7MH0_EMD-23832_A	singleton	117	220	26	23
7MKQ_EMD-23903_E	2	7MKQ_EMD-23903_E	residue_sum=46	0	46	0	4
7MKQ_EMD-23903_F	1	7MKQ_EMD-23903_F	singleton	158	445	34	41
7MOB_EMD-23923_A	1	7MOB_EMD-23923_A	singleton	45	12	15	2
7MOB_EMD-23923_C	1	7MOB_EMD-23923_C	singleton	197	34	38	7
7MOQ_EMD-23926_F	3	7K5B_EMD-22679_F	residue_sum=95	33	62	5	3
7MOQ_EMD-23926_K	3	7K5B_EMD-22679_J	residue_sum=69	37	32	5	2
7MOQ_EMD-23926_L	3	7KEK_EMD-22840_N	residue_sum=74	36	38	4	2
7MOQ_EMD-23926_O	3	7KEK_EMD-22840_I	residue_sum=74	35	39	4	3
7MOQ_EMD-23926_P	1	7MOQ_EMD-23926_P	singleton	29	35	5	4
7MOQ_EMD-23926_T	1	7MOQ_EMD-23926_T	singleton	0	78	0	7
7MOQ_EMD-23926_X	1	7MOQ_EMD-23926_X	singleton	0	127	0	2
7MOQ_EMD-23926_Z	1	7MOQ_EMD-23926_Z	singleton	0	109	0	3
7MT8_EMD-23977_A	2	7MT9_EMD-23978_A	residue_sum=190	51	139	13	17
7MT8_EMD-23977_B	4	7MT9_EMD-23978_B	residue_sum=233	12	221	4	11
7N32_EMD-22677_B	3	7N32_EMD-22677_B	residue_sum=264	72	192	17	18
7N85_EMD-24232_A	2	8TJ5_EMD-41300_S	residue_sum=505	4	501	2	40
7N85_EMD-24232_B	2	8TJ5_EMD-41300_T	residue_sum=519	12	507	6	42
7N85_EMD-24232_E	2	7N85_EMD-24232_E	residue_sum=141	10	131	2	7
7N85_EMD-24232_F	2	7N85_EMD-24232_F	residue_sum=134	0	134	0	6
7N85_EMD-24232_G	2	7N85_EMD-24232_G	residue_sum=127	0	127	0	8
7N85_EMD-24232_Q	2	8TJ5_EMD-41300_AA	residue_sum=1095	25	1070	15	78
7N85_EMD-24232_R	2	8TJ5_EMD-41300_BA	residue_sum=1096	41	1055	14	76
7N85_EMD-24232_U	2	8TJ5_EMD-41300_CA	residue_sum=495	4	491	2	40
7N85_EMD-24232_Y	2	7N85_EMD-24232_Y	residue_sum=444	130	314	31	42
7N85_EMD-24232_Z	2	7N85_EMD-24232_Z	residue_sum=490	124	366	41	42
7NCS_EMD-12271_A	13	8QPW_EMD-18564_A	residue_sum=434	306	128	42	14
7NCS_EMD-12271_B	12	8QPW_EMD-18564_B	residue_sum=162	159	3	36	1
7ND0_EMD-12272_C	8	7TSZ_EMD-26105_D	residue_sum=162	0	162	0	11
7ND0_EMD-12272_D	13	7RI9_EMD-24478_D	residue_sum=170	0	170	0	11
7ND0_EMD-12272_E	13	8QPU_EMD-18562_D	residue_sum=160	0	160	0	11
7ND0_EMD-12272_F	2	7ND0_EMD-12272_F	residue_sum=122	110	12	20	4
7ND0_EMD-12272_G	2	7ND0_EMD-12272_G	residue_sum=110	103	7	20	2
7NDG_EMD-12286_A	1	7NDG_EMD-12286_A	singleton	124	32	30	6
7NDG_EMD-12286_B	1	7NDG_EMD-12286_B	singleton	128	0	25	0
7NDG_EMD-12286_C	1	7NDG_EMD-12286_C	singleton	66	4	14	1
7NDG_EMD-12286_D	1	7NDG_EMD-12286_D	singleton	124	32	30	6
7NH1_EMD-12318_A	2	7NH1_EMD-12318_A	residue_sum=1469	62	1407	20	120
7NOH_EMD-12502_A	23	7NO1_EMD-12486_A	residue_sum=143	0	143	0	13
7NPV_EMD-12522_G	1	7NPV_EMD-12522_G	singleton	2	3	2	1
7NSU_EMD-12577_A	1	7NSU_EMD-12577_A	singleton	195	14	24	3
7NSU_EMD-12577_D	1	7NSU_EMD-12577_D	singleton	85	167	17	7
7NSU_EMD-12577_E	1	7NSU_EMD-12577_E	singleton	167	43	30	5
7NSU_EMD-12577_F	1	7NSU_EMD-12577_F	singleton	336	37	41	9
7NTF_EMD-12588_A	1	7NTF_EMD-12588_A	singleton	75	550	19	51
7NTX_EMD-10889_A	2	6YRG_EMD-10889_A	residue_sum=391	193	198	43	11
7NYY_EMD-12658_A	1	7NYY_EMD-12658_A	singleton	146	991	26	43
7NYY_EMD-12658_C	1	7NYY_EMD-12658_C	singleton	24	230	10	11
7NYY_EMD-12658_E	1	7NYY_EMD-12658_E	singleton	29	106	8	11
7NYY_EMD-12658_G	1	7NYY_EMD-12658_G	singleton	2	42	2	5
7O17_EMD-12692_A	1	7O17_EMD-12692_A	singleton	139	28	42	4
7O17_EMD-12692_B	1	7O17_EMD-12692_B	singleton	56	90	16	12
7O17_EMD-12692_D	1	7O17_EMD-12692_D	singleton	0	183	0	14
7O41_EMD-12715_A	1	7O41_EMD-12715_A	singleton	137	299	35	28
7O41_EMD-12715_B	1	7O41_EMD-12715_B	singleton	138	266	32	24
7OA6_EMD-12766_A	1	7OA6_EMD-12766_A	singleton	48	7	8	1
7OGT_EMD-12887_A	1	7OGT_EMD-12887_A	singleton	22	576	8	12
7OGT_EMD-12887_B	1	7OGT_EMD-12887_B	singleton	28	590	9	13
7OH1_EMD-12891_A	1	7OH1_EMD-12891_A	singleton	110	314	42	31
7OH1_EMD-12891_B	1	7OH1_EMD-12891_B	singleton	95	18	22	6
7OH1_EMD-12891_C	1	7OH1_EMD-12891_C	singleton	99	8	20	2
7OU2_EMD-13073_A	1	7OU2_EMD-13073_A	singleton	125	341	28	29
7OWG_EMD-13097_A	1	7OWG_EMD-13097_A	singleton	46	1519	11	123
7OWG_EMD-13097_B	1	7OWG_EMD-13097_B	singleton	46	1519	11	123
7OWG_EMD-13097_C	1	7OWG_EMD-13097_C	singleton	35	12	8	2
7OWG_EMD-13097_D	1	7OWG_EMD-13097_D	singleton	184	420	41	38
7P3N_EMD-13181_A	1	7P3N_EMD-13181_A	singleton	104	219	26	21
7P3N_EMD-13181_D	1	7P3N_EMD-13181_D	singleton	94	181	21	19
7P3N_EMD-13181_G	1	7P3N_EMD-13181_G	singleton	0	68	0	3
7P3N_EMD-13181_Q	1	7P3N_EMD-13181_Q	singleton	0	70	0	2
7P3N_EMD-13181_R	1	7P3N_EMD-13181_R	singleton	0	70	0	3
7P3N_EMD-13181_S	1	7P3N_EMD-13181_S	singleton	0	66	0	3
7P3N_EMD-13181_T	1	7P3N_EMD-13181_T	singleton	57	41	8	2
7P3N_EMD-13181_U	1	7P3N_EMD-13181_U	singleton	42	171	8	6
7PCF_EMD-13319_C	1	7PCF_EMD-13319_C	singleton	128	87	23	7
7PD4_EMD-13330_A	2	7PD4_EMD-13330_A	residue_sum=607	112	495	18	29
7PDE_EMD-13335_B	1	7PDE_EMD-13335_B	singleton	35	162	8	17
7PE3_EMD-13346_A	1	7PE3_EMD-13346_A	singleton	47	15	8	3
7PG3_EMD-13387_A	16	8EYY_EMD-28724_A	residue_sum=345	259	86	66	12
7PGT_EMD-13395_A	4	7PGT_EMD-13395_A	residue_sum=1627	49	1578	18	120
7PIM_EMD-13442_A	1	7PIM_EMD-13442_A	singleton	36	176	9	14
7PIM_EMD-13442_B	1	7PIM_EMD-13442_B	singleton	36	176	9	14
7PTT_EMD-13637_A	1	7PTT_EMD-13637_A	singleton	277	65	60	12
7PTY_EMD-13643_A	1	7PTY_EMD-13643_A	singleton	22	473	11	43
7Q1V_EMD-13767_A	3	7O41_EMD-12715_D	residue_sum=135	48	87	7	7
7Q4V_EMD-13818_A	1	7Q4V_EMD-13818_A	singleton	86	219	26	26
7Q4V_EMD-13818_B	1	7Q4V_EMD-13818_B	singleton	85	227	26	30
7Q4V_EMD-13818_C	1	7Q4V_EMD-13818_C	singleton	15	67	5	8
7Q55_EMD-13826_A	3	7Q53_EMD-13824_A	residue_sum=175	83	92	20	10
7Q55_EMD-13826_B	3	7Q53_EMD-13824_B	residue_sum=180	76	104	21	13
7QCD_EMD-13895_C	9	7QCD_EMD-13895_C	residue_sum=147	14	133	7	8
7QCD_EMD-13895_D	4	7QCD_EMD-13895_D	residue_sum=205	42	163	14	13
7QCD_EMD-13895_F	5	8T8F_EMD-41098_E	residue_sum=203	45	158	16	11
7QE5_EMD-13930_A	1	7QE5_EMD-13930_A	singleton	0	488	0	30
7QE5_EMD-13930_B	1	7QE5_EMD-13930_B	singleton	39	3	11	1
7QIN_EMD-13991_L	1	7QIN_EMD-13991_L	singleton	105	345	28	31
7QJ0_EMD-14005_G	13	9G3Y_EMD-51018_I	residue_sum=440	20	420	6	22
7QJ0_EMD-14005_J	12	9QVM_EMD-53399_MA	residue_sum=625	31	594	9	40
7QO3_EMD-14082_A	3	7QO3_EMD-14082_A	residue_sum=142	54	88	11	6
7QO3_EMD-14082_C	3	7QO5_EMD-14084_C	residue_sum=154	64	90	14	8
7QO3_EMD-14082_D	3	7QO6_EMD-14085_D	residue_sum=149	64	85	14	6
7QO3_EMD-14082_E	3	7QO5_EMD-14084_E	residue_sum=145	62	83	11	7
7QO3_EMD-14082_F	3	7QO5_EMD-14084_F	residue_sum=140	59	81	14	6
7QO3_EMD-14082_G	3	7QO6_EMD-14085_G	residue_sum=155	63	92	11	7
7QO3_EMD-14082_H	3	7QO6_EMD-14085_H	residue_sum=201	58	143	15	13
7QO3_EMD-14082_I	3	7QO6_EMD-14085_I	residue_sum=196	59	137	11	12
7QO3_EMD-14082_J	3	7QO5_EMD-14084_J	residue_sum=228	59	169	12	14
7QO3_EMD-14082_MA	3	7QO3_EMD-14082_MA	residue_sum=299	11	288	3	19
7QO3_EMD-14082_NA	3	7QO6_EMD-14085_NA	residue_sum=196	61	135	10	7
7QO3_EMD-14082_OA	3	7QO6_EMD-14085_OA	residue_sum=300	16	284	3	21
7QO4_EMD-14083_B	3	7QO6_EMD-14085_PA	residue_sum=201	58	143	15	13
7QO4_EMD-14083_C	3	7QO6_EMD-14085_QA	residue_sum=196	59	137	11	12
7QO4_EMD-14083_D	3	7QO6_EMD-14085_RA	residue_sum=223	61	162	12	13
7QO4_EMD-14083_E	3	7QO6_EMD-14085_SA	residue_sum=219	51	168	13	15
7QO4_EMD-14083_F	3	7QO4_EMD-14083_F	residue_sum=227	55	172	10	14
7QO4_EMD-14083_G	3	7QO5_EMD-14084_UA	residue_sum=228	59	169	12	14
7QO4_EMD-14083_H	3	7QO6_EMD-14085_VA	residue_sum=226	94	132	21	10
7QO4_EMD-14083_I	6	9KHT_EMD-62354_A	residue_sum=600	16	584	9	45
7QO5_EMD-14084_B	3	7QO6_EMD-14085_B	residue_sum=143	63	80	14	6
7QO5_EMD-14084_CA	3	7QO5_EMD-14084_CA	residue_sum=112	38	74	6	7
7QO5_EMD-14084_DA	3	7QO5_EMD-14084_DA	residue_sum=179	53	126	8	10
7QO5_EMD-14084_EA	3	7QO3_EMD-14082_EA	residue_sum=194	5	189	3	14
7QO5_EMD-14084_FA	3	7QO5_EMD-14084_FA	residue_sum=51	39	12	10	1
7QO5_EMD-14084_GA	3	7QO3_EMD-14082_GA	residue_sum=45	0	45	0	5
