rep_fasta_id	cluster_size	members
7B6R_EMD-12056_F	1	7B6R_EMD-12056_F
7B6R_EMD-12056_G	1	7B6R_EMD-12056_G
7B6R_EMD-12056_H	1	7B6R_EMD-12056_H
7B6R_EMD-12056_J	1	7B6R_EMD-12056_J
7BGJ_EMD-12181_A	1	7BGJ_EMD-12181_A
7BP0_EMD-30138_A	1	7BP0_EMD-30138_A
7BQT_EMD-30155_A	1	7BQT_EMD-30155_A
7BTR_EMD-30183_A	1	7BTR_EMD-30183_A
7BTR_EMD-30183_B	1	7BTR_EMD-30183_B
7BTR_EMD-30183_C	1	7BTR_EMD-30183_C
7BTR_EMD-30183_D	1	7BTR_EMD-30183_D
7BUA_EMD-30193_G	3	7BUA_EMD-30193_G,7BUE_EMD-30196_A,7BUF_EMD-30197_A
7BUA_EMD-30193_H	3	7BUA_EMD-30193_H,7BUE_EMD-30196_B,7BUF_EMD-30197_B
7BUE_EMD-30196_C	1	7BUE_EMD-30196_C
7BWA_EMD-30231_C	1	7BWA_EMD-30231_C
7BZW_EMD-30261_A	1	7BZW_EMD-30261_A
7CA5_EMD-30324_A	2	7CA3_EMD-30323_A,7CA5_EMD-30324_A
7CA5_EMD-30324_B	2	7CA3_EMD-30323_B,7CA5_EMD-30324_B
7CCS_EMD-30341_A	1	7CCS_EMD-30341_A
7CCS_EMD-30341_B	1	7CCS_EMD-30341_B
7CG3_EMD-30349_A	1	7CG3_EMD-30349_A
7CTF_EMD-30463_A	2	7CTF_EMD-30463_A,7CTG_EMD-30464_A
7CTF_EMD-30463_B	2	7CTF_EMD-30463_B,7CTG_EMD-30464_B
7CTG_EMD-30464_C	2	7CTF_EMD-30463_C,7CTG_EMD-30464_C
7CTG_EMD-30464_D	2	7CTF_EMD-30463_D,7CTG_EMD-30464_D
7CTG_EMD-30464_E	2	7CTF_EMD-30463_E,7CTG_EMD-30464_E
7CVY_EMD-30476_A	1	7CVY_EMD-30476_A
7CVY_EMD-30476_C	4	7CVY_EMD-30476_C,7CVZ_EMD-30477_C,7CW0_EMD-30478_C,7CW2_EMD-30479_G
7CVY_EMD-30476_E	5	6W09_EMD-21496_E,7CVY_EMD-30476_E,7CVZ_EMD-30477_B,7CW0_EMD-30478_B,7CW2_EMD-30479_B
7CVZ_EMD-30477_A	5	6W09_EMD-21496_A,7CVY_EMD-30476_D,7CVZ_EMD-30477_A,7CW0_EMD-30478_A,7CW2_EMD-30479_A
7CVZ_EMD-30477_D	3	7CVZ_EMD-30477_D,7CW0_EMD-30478_D,7CW2_EMD-30479_J
7D7N_EMD-30609_A	1	7D7N_EMD-30609_A
7DCX_EMD-30641_A	3	7DCX_EMD-30641_A,7DD2_EMD-30642_C,7DD8_EMD-30649_A
7DCX_EMD-30641_E	4	7CVY_EMD-30476_B,7DCX_EMD-30641_E,7DD2_EMD-30642_D,7DD8_EMD-30649_B
7DGQ_EMD-30673_A	4	7DGQ_EMD-30673_A,7DGR_EMD-30674_G,7DGS_EMD-30675_I,8UGR_EMD-42233_A
7DGQ_EMD-30673_AC	5	7DGQ_EMD-30673_AC,7DGR_EMD-30674_CB,7DGS_EMD-30675_CB,8IC2_EMD-35352_CB,8UGR_EMD-42233_CB
7DGQ_EMD-30673_BC	3	7DGQ_EMD-30673_BC,7DGR_EMD-30674_DB,7DGS_EMD-30675_DB
7DGQ_EMD-30673_F	3	7DGQ_EMD-30673_F,7DGR_EMD-30674_F,7DGS_EMD-30675_F
7DGQ_EMD-30673_G	3	7DGQ_EMD-30673_G,7DGR_EMD-30674_E,7DGS_EMD-30675_C
7DGQ_EMD-30673_H	3	7DGQ_EMD-30673_H,7DGR_EMD-30674_C,7DGS_EMD-30675_D
7DGQ_EMD-30673_HA	3	7DGQ_EMD-30673_HA,7DGR_EMD-30674_U,7DGS_EMD-30675_U
7DGQ_EMD-30673_IA	4	7DGQ_EMD-30673_IA,7DGR_EMD-30674_V,7DGS_EMD-30675_V,8UGR_EMD-42233_V
7DGQ_EMD-30673_J	4	7DGQ_EMD-30673_J,7DGR_EMD-30674_PB,7DGS_EMD-30675_PB,8UGR_EMD-42233_PB
7DGQ_EMD-30673_JA	5	7DGQ_EMD-30673_JA,7DGR_EMD-30674_W,7DGS_EMD-30675_W,8IC2_EMD-35352_W,8UGR_EMD-42233_W
7DGQ_EMD-30673_K	4	7DGQ_EMD-30673_K,7DGR_EMD-30674_QB,7DGS_EMD-30675_QB,8UGR_EMD-42233_QB
7DGQ_EMD-30673_KA	4	7DGQ_EMD-30673_KA,7DGR_EMD-30674_X,7DGS_EMD-30675_X,8UGR_EMD-42233_RA
7DGQ_EMD-30673_L	4	7DGQ_EMD-30673_L,7DGR_EMD-30674_RB,7DGS_EMD-30675_RB,8UGR_EMD-42233_RB
7DGQ_EMD-30673_LA	4	7DGQ_EMD-30673_LA,7DGR_EMD-30674_Y,7DGS_EMD-30675_Y,8UGR_EMD-42233_X
7DGQ_EMD-30673_LB	4	7DGQ_EMD-30673_LB,7DGR_EMD-30674_JB,7DGS_EMD-30675_JB,8UGR_EMD-42233_BE
7DGQ_EMD-30673_M	4	7DGQ_EMD-30673_M,7DGR_EMD-30674_SB,7DGS_EMD-30675_SB,8UGR_EMD-42233_SB
7DGQ_EMD-30673_MA	3	7DGQ_EMD-30673_MA,7DGR_EMD-30674_Z,7DGS_EMD-30675_Z
7DGQ_EMD-30673_MB	4	7DGQ_EMD-30673_MB,7DGR_EMD-30674_KB,7DGS_EMD-30675_KB,8UGR_EMD-42233_CE
7DGQ_EMD-30673_NA	3	7DGQ_EMD-30673_NA,7DGR_EMD-30674_AA,7DGS_EMD-30675_AA
7DGQ_EMD-30673_OA	4	7DGQ_EMD-30673_OA,7DGR_EMD-30674_BA,7DGS_EMD-30675_BA,8UGR_EMD-42233_Y
7DGQ_EMD-30673_OB	4	7DGQ_EMD-30673_OB,7DGR_EMD-30674_BB,7DGS_EMD-30675_BB,8UGR_EMD-42233_NB
7DGQ_EMD-30673_PA	5	7DGQ_EMD-30673_PA,7DGR_EMD-30674_CA,7DGS_EMD-30675_CA,8IC2_EMD-35352_QA,8UGR_EMD-42233_QA
7DGR_EMD-30674_AC	4	7DGQ_EMD-30673_U,7DGR_EMD-30674_AC,7DGS_EMD-30675_AC,8UGR_EMD-42233_AC
7DGR_EMD-30674_BC	3	7DGQ_EMD-30673_V,7DGR_EMD-30674_BC,7DGS_EMD-30675_BC
7DGR_EMD-30674_DA	4	7DGQ_EMD-30673_QA,7DGR_EMD-30674_DA,7DGS_EMD-30675_DA,8UGR_EMD-42233_Z
7DGR_EMD-30674_EA	3	7DGQ_EMD-30673_FB,7DGR_EMD-30674_EA,7DGS_EMD-30675_EA
7DGR_EMD-30674_EB	4	7DGQ_EMD-30673_GB,7DGR_EMD-30674_EB,7DGS_EMD-30675_EB,8UGR_EMD-42233_DB
7DGR_EMD-30674_FA	3	7DGQ_EMD-30673_SA,7DGR_EMD-30674_FA,7DGS_EMD-30675_FA
7DGR_EMD-30674_FB	4	7DGQ_EMD-30673_HB,7DGR_EMD-30674_FB,7DGS_EMD-30675_FB,8UGR_EMD-42233_EB
7DGR_EMD-30674_GA	3	7DGQ_EMD-30673_TA,7DGR_EMD-30674_GA,7DGS_EMD-30675_GA
7DGR_EMD-30674_H	3	7DGQ_EMD-30673_B,7DGR_EMD-30674_H,7DGS_EMD-30675_H
7DGR_EMD-30674_HA	4	7DGQ_EMD-30673_UA,7DGR_EMD-30674_HA,7DGS_EMD-30675_HA,8UGR_EMD-42233_KA
7DGR_EMD-30674_HB	1	7DGR_EMD-30674_HB
7DGR_EMD-30674_IA	3	7DGQ_EMD-30673_VA,7DGR_EMD-30674_IA,7DGS_EMD-30675_IA
7DGR_EMD-30674_J	5	7DGQ_EMD-30673_W,7DGR_EMD-30674_J,7DGS_EMD-30675_J,8IC2_EMD-35352_G,8UGR_EMD-42233_G
7DGR_EMD-30674_JA	3	7DGQ_EMD-30673_WA,7DGR_EMD-30674_JA,7DGS_EMD-30675_JA
7DGR_EMD-30674_KA	4	7DGQ_EMD-30673_XA,7DGR_EMD-30674_KA,7DGS_EMD-30675_KA,8UGR_EMD-42233_IA
7DGR_EMD-30674_L	5	7DGQ_EMD-30673_Y,7DGR_EMD-30674_L,7DGS_EMD-30675_L,8IC2_EMD-35352_C,8UGR_EMD-42233_C
7DGR_EMD-30674_LA	4	7DGQ_EMD-30673_YA,7DGR_EMD-30674_LA,7DGS_EMD-30675_LA,8UGR_EMD-42233_OA
7DGR_EMD-30674_M	3	7DGQ_EMD-30673_Z,7DGR_EMD-30674_M,7DGS_EMD-30675_M
7DGR_EMD-30674_MA	4	7DGQ_EMD-30673_ZA,7DGR_EMD-30674_MA,7DGS_EMD-30675_MA,8UGR_EMD-42233_NA
7DGR_EMD-30674_N	4	7DGQ_EMD-30673_AA,7DGR_EMD-30674_N,7DGS_EMD-30675_N,8IC2_EMD-35352_I
7DGR_EMD-30674_NA	4	7DGQ_EMD-30673_AB,7DGR_EMD-30674_NA,7DGS_EMD-30675_NA,8UGR_EMD-42233_GA
7DGR_EMD-30674_O	3	7DGQ_EMD-30673_BA,7DGR_EMD-30674_O,7DGS_EMD-30675_O
7DGR_EMD-30674_OA	3	7DGQ_EMD-30673_BB,7DGR_EMD-30674_OA,7DGS_EMD-30675_OA
7DGR_EMD-30674_P	3	7DGQ_EMD-30673_CA,7DGR_EMD-30674_P,7DGS_EMD-30675_P
7DGR_EMD-30674_PA	3	7DGQ_EMD-30673_CB,7DGR_EMD-30674_PA,7DGS_EMD-30675_PA
7DGR_EMD-30674_Q	3	7DGQ_EMD-30673_DA,7DGR_EMD-30674_Q,7DGS_EMD-30675_Q
7DGR_EMD-30674_QA	4	7DGQ_EMD-30673_DB,7DGR_EMD-30674_QA,7DGS_EMD-30675_QA,8UGR_EMD-42233_PA
7DGR_EMD-30674_RA	4	7DGQ_EMD-30673_EB,7DGR_EMD-30674_RA,7DGS_EMD-30675_RA,8UGR_EMD-42233_LA
7DGR_EMD-30674_TB	4	7DGQ_EMD-30673_N,7DGR_EMD-30674_TB,7DGS_EMD-30675_TB,8UGR_EMD-42233_TB
7DGR_EMD-30674_UB	4	7DGQ_EMD-30673_O,7DGR_EMD-30674_UB,7DGS_EMD-30675_UB,8UGR_EMD-42233_UB
7DGR_EMD-30674_VB	4	7DGQ_EMD-30673_P,7DGR_EMD-30674_VB,7DGS_EMD-30675_VB,8UGR_EMD-42233_VB
7DGR_EMD-30674_WB	4	7DGQ_EMD-30673_Q,7DGR_EMD-30674_WB,7DGS_EMD-30675_WB,8UGR_EMD-42233_WB
7DGR_EMD-30674_XB	3	7DGQ_EMD-30673_R,7DGR_EMD-30674_XB,7DGS_EMD-30675_XB
7DGR_EMD-30674_YB	4	7DGQ_EMD-30673_S,7DGR_EMD-30674_YB,7DGS_EMD-30675_YB,8UGR_EMD-42233_BF
7DGR_EMD-30674_ZB	3	7DGQ_EMD-30673_T,7DGR_EMD-30674_ZB,7DGS_EMD-30675_ZB
7DGS_EMD-30675_B	3	7DGQ_EMD-30673_D,7DGR_EMD-30674_D,7DGS_EMD-30675_B
7DGS_EMD-30675_E	3	7DGQ_EMD-30673_E,7DGR_EMD-30674_B,7DGS_EMD-30675_E
7DGS_EMD-30675_GB	4	7DGQ_EMD-30673_IB,7DGR_EMD-30674_GB,7DGS_EMD-30675_GB,8UGR_EMD-42233_FB
7DGS_EMD-30675_HB	4	7DGQ_EMD-30673_JB,7DGS_EMD-30675_HB,8IC2_EMD-35352_HB,8UGR_EMD-42233_GB
7DGS_EMD-30675_IB	3	7DGQ_EMD-30673_KB,7DGR_EMD-30674_IB,7DGS_EMD-30675_IB
7DGS_EMD-30675_R	3	7DGQ_EMD-30673_EA,7DGR_EMD-30674_R,7DGS_EMD-30675_R
7DGS_EMD-30675_S	3	7DGQ_EMD-30673_FA,7DGR_EMD-30674_S,7DGS_EMD-30675_S
7DGS_EMD-30675_T	4	7DGQ_EMD-30673_GA,7DGR_EMD-30674_T,7DGS_EMD-30675_T,8UGR_EMD-42233_S
7DNK_EMD-30786_A	1	7DNK_EMD-30786_A
7DNK_EMD-30786_B	1	7DNK_EMD-30786_B
7DNK_EMD-30786_C	1	7DNK_EMD-30786_C
7E55_EMD-30990_A	5	6WJD_EMD-21691_Z,6WJN_EMD-21696_R,7E55_EMD-30990_A,7QY7_EMD-14209_Y,7QYA_EMD-14210_Y
7E6U_EMD-30997_A	2	7E6U_EMD-30997_A,7SIN_EMD-25145_A
7E6U_EMD-30997_B	1	7E6U_EMD-30997_B
7E8H_EMD-31019_B	3	7E8G_EMD-31018_A,7E8H_EMD-31019_A,7E8H_EMD-31019_B
7E8H_EMD-31019_C	2	7E8H_EMD-31019_C,7E8H_EMD-31019_E
7E8H_EMD-31019_D	1	7E8H_EMD-31019_D
7E93_EMD-31027_A	2	7E93_EMD-31027_A,7E94_EMD-31028_A
7E93_EMD-31027_B	2	7E93_EMD-31027_B,7E94_EMD-31028_B
7E93_EMD-31027_C	2	7E93_EMD-31027_C,7E94_EMD-31028_C
7E93_EMD-31027_E	2	7E93_EMD-31027_E,7E94_EMD-31028_E
7E93_EMD-31027_G	2	7E93_EMD-31027_G,7E94_EMD-31028_G
7E94_EMD-31028_D	2	7E93_EMD-31027_D,7E94_EMD-31028_D
7E94_EMD-31028_H	2	7E93_EMD-31027_H,7E94_EMD-31028_H
7E94_EMD-31028_I	2	7E93_EMD-31027_I,7E94_EMD-31028_I
7E94_EMD-31028_J	2	7E93_EMD-31027_J,7E94_EMD-31028_J
7E94_EMD-31028_K	2	7E93_EMD-31027_K,7E94_EMD-31028_K
7ETM_EMD-31299_A	2	7ETM_EMD-31299_A,8HEU_EMD-34692_A
7EWR_EMD-31363_A	1	7EWR_EMD-31363_A
7EWR_EMD-31363_B	1	7EWR_EMD-31363_B
7EWR_EMD-31363_C	1	7EWR_EMD-31363_C
7EYE_EMD-31382_A	1	7EYE_EMD-31382_A
7EYF_EMD-31383_A	1	7EYF_EMD-31383_A
7EYQ_EMD-31384_A	1	7EYQ_EMD-31384_A
7F46_EMD-31444_C	1	7F46_EMD-31444_C
7F46_EMD-31444_D	1	7F46_EMD-31444_D
7F9O_EMD-31498_A	1	7F9O_EMD-31498_A
7F9O_EMD-31498_AA	1	7F9O_EMD-31498_AA
7F9O_EMD-31498_B	1	7F9O_EMD-31498_B
7F9O_EMD-31498_BA	1	7F9O_EMD-31498_BA
7F9O_EMD-31498_BB	1	7F9O_EMD-31498_BB
7F9O_EMD-31498_C	1	7F9O_EMD-31498_C
7F9O_EMD-31498_CA	1	7F9O_EMD-31498_CA
7F9O_EMD-31498_CB	1	7F9O_EMD-31498_CB
7F9O_EMD-31498_D	1	7F9O_EMD-31498_D
7F9O_EMD-31498_E	1	7F9O_EMD-31498_E
7F9O_EMD-31498_EA	1	7F9O_EMD-31498_EA
7F9O_EMD-31498_F	1	7F9O_EMD-31498_F
7F9O_EMD-31498_FA	1	7F9O_EMD-31498_FA
7F9O_EMD-31498_G	1	7F9O_EMD-31498_G
7F9O_EMD-31498_GA	1	7F9O_EMD-31498_GA
7F9O_EMD-31498_H	1	7F9O_EMD-31498_H
7F9O_EMD-31498_HA	1	7F9O_EMD-31498_HA
7F9O_EMD-31498_I	1	7F9O_EMD-31498_I
7F9O_EMD-31498_IA	1	7F9O_EMD-31498_IA
7F9O_EMD-31498_J	1	7F9O_EMD-31498_J
7F9O_EMD-31498_JA	1	7F9O_EMD-31498_JA
7F9O_EMD-31498_K	1	7F9O_EMD-31498_K
7F9O_EMD-31498_KA	1	7F9O_EMD-31498_KA
7F9O_EMD-31498_L	1	7F9O_EMD-31498_L
7F9O_EMD-31498_LA	1	7F9O_EMD-31498_LA
7F9O_EMD-31498_M	1	7F9O_EMD-31498_M
7F9O_EMD-31498_MA	1	7F9O_EMD-31498_MA
7F9O_EMD-31498_N	1	7F9O_EMD-31498_N
7F9O_EMD-31498_NA	1	7F9O_EMD-31498_NA
7F9O_EMD-31498_O	1	7F9O_EMD-31498_O
7F9O_EMD-31498_P	1	7F9O_EMD-31498_P
7F9O_EMD-31498_Q	1	7F9O_EMD-31498_Q
7F9O_EMD-31498_R	1	7F9O_EMD-31498_R
7F9O_EMD-31498_S	1	7F9O_EMD-31498_S
7F9O_EMD-31498_T	1	7F9O_EMD-31498_T
7F9O_EMD-31498_U	1	7F9O_EMD-31498_U
7F9O_EMD-31498_V	1	7F9O_EMD-31498_V
7F9O_EMD-31498_W	1	7F9O_EMD-31498_W
7F9O_EMD-31498_X	1	7F9O_EMD-31498_X
7F9O_EMD-31498_Y	1	7F9O_EMD-31498_Y
7F9O_EMD-31498_Z	1	7F9O_EMD-31498_Z
7FDB_EMD-31539_A	2	7FDB_EMD-31539_A,7FDC_EMD-31540_A
7FDB_EMD-31539_R	2	7FDB_EMD-31539_R,7FDC_EMD-31540_R
7FDC_EMD-31540_B	2	7FDB_EMD-31539_B,7FDC_EMD-31540_B
7FDC_EMD-31540_CA	2	7FDB_EMD-31539_CA,7FDC_EMD-31540_CA
7FDC_EMD-31540_DA	2	7FDB_EMD-31539_DA,7FDC_EMD-31540_DA
7FDC_EMD-31540_EA	2	7FDB_EMD-31539_EA,7FDC_EMD-31540_EA
7FDC_EMD-31540_G	2	7FDB_EMD-31539_G,7FDC_EMD-31540_G
7FDC_EMD-31540_H	2	7FDB_EMD-31539_H,7FDC_EMD-31540_H
7FDC_EMD-31540_M	2	7FDB_EMD-31539_M,7FDC_EMD-31540_M
7FDC_EMD-31540_N	2	7FDB_EMD-31539_N,7FDC_EMD-31540_N
7FDC_EMD-31540_O	2	7FDB_EMD-31539_O,7FDC_EMD-31540_O
7FDC_EMD-31540_P	2	7FDB_EMD-31539_P,7FDC_EMD-31540_P
7FDC_EMD-31540_Q	2	7FDB_EMD-31539_Q,7FDC_EMD-31540_Q
7FDC_EMD-31540_S	2	7FDB_EMD-31539_S,7FDC_EMD-31540_S
7FDC_EMD-31540_T	2	7FDB_EMD-31539_T,7FDC_EMD-31540_T
7FDC_EMD-31540_U	2	7FDB_EMD-31539_U,7FDC_EMD-31540_U
7FIF_EMD-31595_A	1	7FIF_EMD-31595_A
7FJ3_EMD-31612_A	1	7FJ3_EMD-31612_A
7FJ3_EMD-31612_B	1	7FJ3_EMD-31612_B
7FJ3_EMD-31612_F	1	7FJ3_EMD-31612_F
7FJ3_EMD-31612_I	1	7FJ3_EMD-31612_I
7JGF_EMD-22325_A	1	7JGF_EMD-22325_A
7JGG_EMD-22326_A	1	7JGG_EMD-22326_A
7JGJ_EMD-22328_A	1	7JGJ_EMD-22328_A
7JGJ_EMD-22328_B	1	7JGJ_EMD-22328_B
7JGJ_EMD-22328_C	1	7JGJ_EMD-22328_C
7JLX_EMD-22383_A	1	7JLX_EMD-22383_A
7JPU_EMD-22423_A	1	7JPU_EMD-22423_A
7JTI_EMD-22474_B	1	7JTI_EMD-22474_B
7JTI_EMD-22474_C	1	7JTI_EMD-22474_C
7JTI_EMD-22474_D	1	7JTI_EMD-22474_D
7JTI_EMD-22474_E	1	7JTI_EMD-22474_E
7JTI_EMD-22474_F	1	7JTI_EMD-22474_F
7JTS_EMD-22480_A	1	7JTS_EMD-22480_A
7JTS_EMD-22480_K	1	7JTS_EMD-22480_K
7JTS_EMD-22480_L	1	7JTS_EMD-22480_L
7JTS_EMD-22480_M	1	7JTS_EMD-22480_M
7K08_EMD-22589_A	1	7K08_EMD-22589_A
7K1V_EMD-22630_A	1	7K1V_EMD-22630_A
7K1W_EMD-22631_A	1	7K1W_EMD-22631_A
7K2V_EMD-22647_A	1	7K2V_EMD-22647_A
7K2V_EMD-22647_B	1	7K2V_EMD-22647_B
7K5B_EMD-22679_B	3	7K5B_EMD-22679_B,7KEK_EMD-22840_D,7MOQ_EMD-23926_B
7K5B_EMD-22679_C	3	7K5B_EMD-22679_C,7KEK_EMD-22840_B,7MOQ_EMD-23926_A
7K5B_EMD-22679_P	2	7K5B_EMD-22679_P,7KEK_EMD-22840_M
7K5B_EMD-22679_Q	2	7K5B_EMD-22679_Q,7KEK_EMD-22840_C
7K5B_EMD-22679_R	1	7K5B_EMD-22679_R
7K9L_EMD-22754_A	1	7K9L_EMD-22754_A
7KEK_EMD-22840_A	3	7K5B_EMD-22679_A,7KEK_EMD-22840_A,7MOQ_EMD-23926_C
7KEK_EMD-22840_E	3	7K5B_EMD-22679_I,7KEK_EMD-22840_E,7MOQ_EMD-23926_I
7KEK_EMD-22840_K	3	7K5B_EMD-22679_E,7KEK_EMD-22840_K,7MOQ_EMD-23926_E
7KEK_EMD-22840_N	3	7K5B_EMD-22679_L,7KEK_EMD-22840_N,7MOQ_EMD-23926_L
7KEK_EMD-22840_O	3	7K5B_EMD-22679_K,7KEK_EMD-22840_O,7MOQ_EMD-23926_J
7KEK_EMD-22840_P	3	7K5B_EMD-22679_J,7KEK_EMD-22840_P,7MOQ_EMD-23926_K
7KO4_EMD-22964_P	39	6KN7_EMD-0728_P,6KN8_EMD-0729_P,7KO4_EMD-22964_P,7KO5_EMD-22965_P,7KOR_EMD-22981_P,7UTI_EMD-0729_Q,7UTL_EMD-0728_S,8UWW_EMD-42681_F,8UWX_EMD-42682_F,8UWY_EMD-42683_F,8UYD_EMD-42800_F,8UZ5_EMD-42833_F,8UZ6_EMD-42835_F,8UZX_EMD-42846_F,8UZY_EMD-42847_F,8V01_EMD-42849_F,8V0I_EMD-42856_F,8V0K_EMD-42858_F,8V0Y_EMD-42874_F,9MO4_EMD-48447_K,9MO5_EMD-48448_K,9MO6_EMD-48449_K,9MO7_EMD-48450_K,9MO8_EMD-48451_L,9MO9_EMD-48452_K,9MOA_EMD-48453_K,9MOB_EMD-48454_L,9MOC_EMD-48455_L,9MOD_EMD-48456_L,9MOI_EMD-48467_K,9MOK_EMD-48468_L,9MOL_EMD-48469_L,9MOM_EMD-48470_L,9MON_EMD-48471_L,9MOO_EMD-48476_K,9MOP_EMD-48477_K,9MOU_EMD-48482_L,9MOW_EMD-48483_L,9MOX_EMD-48484_K
7KPW_EMD-22990_A	1	7KPW_EMD-22990_A
7KS0_EMD-23014_A	2	7KS0_EMD-23014_A,7KS3_EMD-23015_A
7KS3_EMD-23015_B	2	7KS0_EMD-23014_B,7KS3_EMD-23015_B
7KTP_EMD-23025_A	1	7KTP_EMD-23025_A
7KTP_EMD-23025_B	1	7KTP_EMD-23025_B
7KTP_EMD-23025_C	1	7KTP_EMD-23025_C
7KTP_EMD-23025_D	3	7KTP_EMD-23025_D,7Y5V_EMD-33626_D,8IQF_EMD-35660_D
7KTV_EMD-23031_A	1	7KTV_EMD-23031_A
7KVD_EMD-23047_A	2	7KVC_EMD-23046_A,7KVD_EMD-23047_A
7KZM_EMD-23082_CA	1	7KZM_EMD-23082_CA
7KZM_EMD-23082_DA	1	7KZM_EMD-23082_DA
7KZM_EMD-23082_EA	1	7KZM_EMD-23082_EA
7KZM_EMD-23082_HA	1	7KZM_EMD-23082_HA
7KZM_EMD-23082_KA	1	7KZM_EMD-23082_KA
7KZM_EMD-23082_O	1	7KZM_EMD-23082_O
7KZM_EMD-23082_P	1	7KZM_EMD-23082_P
7KZM_EMD-23082_Q	1	7KZM_EMD-23082_Q
7KZM_EMD-23082_R	1	7KZM_EMD-23082_R
7KZM_EMD-23082_S	1	7KZM_EMD-23082_S
7KZM_EMD-23082_T	1	7KZM_EMD-23082_T
7KZM_EMD-23082_U	1	7KZM_EMD-23082_U
7KZM_EMD-23082_V	1	7KZM_EMD-23082_V
7KZM_EMD-23082_W	1	7KZM_EMD-23082_W
7KZM_EMD-23082_X	1	7KZM_EMD-23082_X
7L0S_EMD-23102_A	1	7L0S_EMD-23102_A
7L0S_EMD-23102_B	1	7L0S_EMD-23102_B
7L0S_EMD-23102_D	9	7L0S_EMD-23102_D,7YU7_EMD-34101_C,7YU8_EMD-34102_C,8DDW_EMD-27344_I,8P13_EMD-17344_C,8P15_EMD-17345_C,8SL3_EMD-40572_B,8XWQ_EMD-38741_D,9EPR_EMD-19884_B
7L6M_EMD-23145_A	1	7L6M_EMD-23145_A
7L6M_EMD-23145_B	1	7L6M_EMD-23145_B
7L6N_EMD-23206_A	1	7L6N_EMD-23206_A
7L6N_EMD-23206_H	1	7L6N_EMD-23206_H
7LGE_EMD-23321_A	3	7LGE_EMD-23321_A,7LGF_EMD-23322_A,7LGG_EMD-23323_A
7LHI_EMD-23341_A	2	7LHH_EMD-23340_A,7LHI_EMD-23341_A
7LHI_EMD-23341_B	2	7LHH_EMD-23340_D,7LHI_EMD-23341_B
7LHI_EMD-23341_C	1	7LHI_EMD-23341_C
7LHI_EMD-23341_D	2	7LHH_EMD-23340_B,7LHI_EMD-23341_D
7LHI_EMD-23341_E	2	7LHH_EMD-23340_C,7LHI_EMD-23341_E
7LRG_EMD-23497_G	1	7LRG_EMD-23497_G
7LUM_EMD-23522_I	4	7LUM_EMD-23522_I,7LUP_EMD-23526_I,7X6Q_EMD-33025_E,9FQR_EMD-50664_RQ
7LUP_EMD-23526_A	4	7LUM_EMD-23522_A,7LUP_EMD-23526_A,7X6Q_EMD-33025_C,9FQR_EMD-50664_GV
7LUP_EMD-23526_C	4	7LUM_EMD-23522_C,7LUP_EMD-23526_C,7X6Q_EMD-33025_B,9FQR_EMD-50664_AV
7LUP_EMD-23526_E	4	7LUM_EMD-23522_E,7LUP_EMD-23526_E,7X6Q_EMD-33025_F,9FQR_EMD-50664_EV
7LVT_EMD-23542_A	1	7LVT_EMD-23542_A
7LZ6_EMD-23603_A	1	7LZ6_EMD-23603_A
7LZ6_EMD-23603_C	1	7LZ6_EMD-23603_C
7LZ6_EMD-23603_D	1	7LZ6_EMD-23603_D
7MBZ_EMD-23751_A	1	7MBZ_EMD-23751_A
7MBZ_EMD-23751_B	1	7MBZ_EMD-23751_B
7MBZ_EMD-23751_D	1	7MBZ_EMD-23751_D
7MD4_EMD-23766_A	1	7MD4_EMD-23766_A
7MD4_EMD-23766_E	6	7MD4_EMD-23766_E,7PG0_EMD-13385_C,7PG2_EMD-13386_C,7PG3_EMD-13387_C,7QID_EMD-10311_E,7SL4_EMD-25191_E
7MD4_EMD-23766_F	6	7MD4_EMD-23766_F,7PG0_EMD-13385_D,7PG2_EMD-13386_D,7PG3_EMD-13387_D,7QID_EMD-10311_F,7SL4_EMD-25191_C
7MH0_EMD-23832_A	1	7MH0_EMD-23832_A
7MKQ_EMD-23903_A	1	7MKQ_EMD-23903_A
7MKQ_EMD-23903_C	2	7MKQ_EMD-23903_C,9M7Z_EMD-63698_A
7MKQ_EMD-23903_D	2	7MKQ_EMD-23903_D,9M7Z_EMD-63698_B
7MKQ_EMD-23903_F	1	7MKQ_EMD-23903_F
7MOB_EMD-23923_A	1	7MOB_EMD-23923_A
7MOB_EMD-23923_C	1	7MOB_EMD-23923_C
7MOQ_EMD-23926_D	3	7K5B_EMD-22679_D,7KEK_EMD-22840_L,7MOQ_EMD-23926_D
7MOQ_EMD-23926_F	3	7K5B_EMD-22679_F,7KEK_EMD-22840_H,7MOQ_EMD-23926_F
7MOQ_EMD-23926_G	3	7K5B_EMD-22679_G,7KEK_EMD-22840_G,7MOQ_EMD-23926_G
7MOQ_EMD-23926_H	3	7K5B_EMD-22679_H,7KEK_EMD-22840_F,7MOQ_EMD-23926_H
7MOQ_EMD-23926_M	3	7K5B_EMD-22679_M,7KEK_EMD-22840_Q,7MOQ_EMD-23926_M
7MOQ_EMD-23926_N	3	7K5B_EMD-22679_O,7KEK_EMD-22840_J,7MOQ_EMD-23926_N
7MOQ_EMD-23926_O	3	7K5B_EMD-22679_N,7KEK_EMD-22840_I,7MOQ_EMD-23926_O
7MOQ_EMD-23926_P	1	7MOQ_EMD-23926_P
